GM_PONTO;CD_GEOCODIGO;TIPO;CD_GEOCODSD;NM_SUBDISTRITO;CD_GEOCODDS;NM_DISTRITO;CD_GEOCODMU;NM_MUNICIPIO;NM_MICRO;NM_MESO;NM_UF;CD_NIVEL;CD_CATEGORIA;NM_CATEGORIA;NM_LOCALIDADE;LONG;LAT;ALT
;421970511000001;URBANO;42197051100;;421970511;ANITA GARIBALDI;4219705;XAXIM;XANXERÊ;OESTE CATARINENSE;SANTA CATARINA;2;11;VILA;ANITA GARIBALDI;-52,60472941;-26,89385695;534,242591
;421970516000001;URBANO;42197051600;;421970516;DIADEMA;4219705;XAXIM;XANXERÊ;OESTE CATARINENSE;SANTA CATARINA;2;16;VILA;DIADEMA;-52,50506452;-26,94129255;769,475129
;421985305000001;URBANO;42198530500;;421985305;ZORTÉA;4219853;ZORTÉA;CURITIBANOS;SERRANA;SANTA CATARINA;1;05;CIDADE;ZORTÉA;-51,54956631;-27,45025141;685,295298
;430003405000001;URBANO;43000340500;;430003405;ACEGUÁ;4300034;ACEGUÁ;CAMPANHA MERIDIONAL;SUDOESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ACEGUÁ;-54,16473154;-31,8640153;237,92225
;430003415000001;URBANO;43000341500;;430003415;COLÔNIA NOVA;4300034;ACEGUÁ;CAMPANHA MERIDIONAL;SUDOESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;COLÔNIA NOVA;-54,06664964;-31,65696879;157,874705
;430005905000001;URBANO;43000590500;;430005905;ÁGUA SANTA;4300059;ÁGUA SANTA;PASSO FUNDO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ÁGUA SANTA;-52,03463279;-28,17505475;654,840054
;430005905000006;RURAL;43000590500;;430005905;ÁGUA SANTA;4300059;ÁGUA SANTA;PASSO FUNDO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;5;00001;ALDEIA INDÍGENA;ALDEIA INDÍGENA CARRETEIRO;-52,01677762;-28,18454856;687,583205
;430005915000001;URBANO;43000591500;;430005915;ENGENHO GRANDE;4300059;ÁGUA SANTA;PASSO FUNDO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;ENGENHO GRANDE;-52,14045979;-28,2003399;693,466189
;430005925000001;URBANO;43000592500;;430005925;SANTO ANTÔNIO DOS PINHEIRINHOS;4300059;ÁGUA SANTA;PASSO FUNDO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;25;VILA;SANTO ANTÔNIO DOS PINHEIRINHOS;-52,10346352;-28,24329273;767,305022
;430005928000001;URBANO;43000592800;;430005928;SÃO CAETANO;4300059;ÁGUA SANTA;PASSO FUNDO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;28;VILA;SÃO CAETANO;-52,0688831;-28,21868429;719,989877
;430010905000001;URBANO;43001090500;;430010905;AGUDO;4300109;AGUDO;RESTINGA SECA;CENTRO OCIDENTAL RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;AGUDO;-53,25869169;-29,64566336;65,793788
;430020805000001;URBANO;43002080500;;430020805;AJURICABA;4300208;AJURICABA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;AJURICABA;-53,77281889;-28,23772901;329,684816
;430020805000008;RURAL;43002080500;;430020805;AJURICABA;4300208;AJURICABA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;3;00001;POVOADO;ESPINILHO;-53,75604126;-28,17720282;383,174211
;430020805000010;URBANO;43002080500;;430020805;AJURICABA;4300208;AJURICABA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;001;AUI;ESQUINA LAUSSMANN;-53,72519275;-28,1922097;393,307274
;430020815000001;URBANO;43002081500;;430020815;MEDIANEIRA;4300208;AJURICABA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;MEDIANEIRA;-53,69785787;-28,2319155;391,673535
;430030705000001;URBANO;43003070500;;430030705;ALECRIM;4300307;ALECRIM;SANTA ROSA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALECRIM;-54,76709622;-27,66107446;307,853265
;430030705000008;RURAL;43003070500;;430030705;ALECRIM;4300307;ALECRIM;SANTA ROSA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;3;00001;LUGAREJO;PORTO BIGUÁ;-54,8367234;-27,60678774;102,318853
;430040605060001;URBANO;43004060506;ZONA CENTRAL;430040605;ALEGRETE;4300406;ALEGRETE;CAMPANHA OCIDENTAL;SUDOESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALEGRETE;-55,79587015;-29,78204321;94,731203
;430040610000001;URBANO;43004061000;;430040610;PASSO NOVO;4300406;ALEGRETE;CAMPANHA OCIDENTAL;SUDOESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;PASSO NOVO;-55,53973831;-29,67998616;95,256113
;430045505000001;URBANO;43004550500;;430045505;ALEGRIA;4300455;ALEGRIA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALEGRIA;-54,05736641;-27,83729996;358,197387
;430045505000010;RURAL;43004550500;;430045505;ALEGRIA;4300455;ALEGRIA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;3;00001;LUGAREJO;BALNEÁRIO CASCATINHA;-54,14397053;-27,83836098;223,706281
;430045510000001;URBANO;43004551000;;430045510;ESPÍRITO SANTO;4300455;ALEGRIA;IJUÍ;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;ESPÍRITO SANTO;-54,03068713;-27,78434153;396,050446
;430047105000001;URBANO;43004710500;;430047105;ALMIRANTE TAMANDARÉ DO SUL;4300471;ALMIRANTE TAMANDARÉ DO SUL;CARAZINHO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALMIRANTE TAMANDARÉ DO SUL;-52,91371455;-28,11372629;601,972179
;430047115000001;URBANO;43004711500;;430047115;LINHA VITÓRIA;4300471;ALMIRANTE TAMANDARÉ DO SUL;CARAZINHO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;LINHA VITÓRIA;-52,96603133;-28,06010948;556,581541
;430047130000001;URBANO;43004713000;;430047130;RINCÃO DO SEGREDO;4300471;ALMIRANTE TAMANDARÉ DO SUL;CARAZINHO;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;30;VILA;RINCÃO DO SEGREDO;-52,85196565;-28,11791084;576,74123
;430050505000001;URBANO;43005050500;;430050505;ALPESTRE;4300505;ALPESTRE;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALPESTRE;-53,03736605;-27,24876876;447,887313
;430050510000001;URBANO;43005051000;;430050510;FARINHAS;4300505;ALPESTRE;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;FARINHAS;-53,1463614;-27,18748383;234,529576
;430050515000001;URBANO;43005051500;;430050515;SERTÃOZINHO;4300505;ALPESTRE;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;15;VILA;SERTÃOZINHO;-53,1123566;-27,25628949;478,098181
;430050520000001;URBANO;43005052000;;430050520;VOLTA GRANDE;4300505;ALPESTRE;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;20;VILA;VOLTA GRANDE;-53,05065318;-27,12303621;315,739651
;430055405000001;URBANO;43005540500;;430055405;ALTO ALEGRE;4300554;ALTO ALEGRE;CRUZ ALTA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ALTO ALEGRE;-52,99075528;-28,77474554;386,501636
;430055410000001;URBANO;43005541000;;430055410;LINHA BONITA;4300554;ALTO ALEGRE;CRUZ ALTA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;LINHA BONITA;-52,98032403;-28,83952942;473,535348
;430055420000001;URBANO;43005542000;;430055420;SANTA LÚCIA;4300554;ALTO ALEGRE;CRUZ ALTA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;20;VILA;SANTA LÚCIA;-52,99452479;-28,82132096;464,243447
;430055425000001;URBANO;43005542500;;430055425;SÃO JOSÉ;4300554;ALTO ALEGRE;CRUZ ALTA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;25;VILA;SÃO JOSÉ;-52,95077358;-28,7705967;378,363749
;430055430000001;URBANO;43005543000;;430055430;TREZE DE MAIO;4300554;ALTO ALEGRE;CRUZ ALTA;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;30;VILA;TREZE DE MAIO;-53,03419542;-28,81154015;438,656742
;430057005000001;URBANO;43005700500;;430057005;ALTO FELIZ;4300570;ALTO FELIZ;MONTENEGRO;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ALTO FELIZ;-51,31581567;-29,39013917;317,300555
;430060405010001;URBANO;43006040501;MZ1- CENTRO;430060405;ALVORADA;4300604;ALVORADA;PORTO ALEGRE;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;1;05;CIDADE;ALVORADA;-51,07772945;-29,99749306;13,440668
;430060410110001;URBANO;43006041011;MZ 11 - INDUSTRIAL;430060410;ESTÂNCIA GRANDE;4300604;ALVORADA;PORTO ALEGRE;METROPOLITANA DE PORTO ALEGRE;RIO GRANDE DO SUL;2;10;VILA;ESTÂNCIA GRANDE;-51,03211083;-29,99828417;34,659824
;430063805000001;URBANO;43006380500;;430063805;AMARAL FERRADOR;4300638;AMARAL FERRADOR;SERRAS DO SUDESTE;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;AMARAL FERRADOR;-52,2512704;-30,8751476;47,840544
;430063805000014;URBANO;43006380500;;430063805;AMARAL FERRADOR;4300638;AMARAL FERRADOR;SERRAS DO SUDESTE;SUDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;6;001;AUI;AUI 1;-52,32882427;-30,8257921;184,664352
;430064605000001;URBANO;43006460500;;430064605;AMETISTA DO SUL;4300646;AMETISTA DO SUL;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;AMETISTA DO SUL;-53,19217726;-27,35642547;465,820061
;430064625000001;URBANO;43006462500;;430064625;SÃO VALENTIN DA GRUTA;4300646;AMETISTA DO SUL;FREDERICO WESTPHALEN;NOROESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;25;VILA;SÃO VALENTIN DA GRUTA;-53,16531987;-27,39405549;302,894184
;430066105000001;URBANO;43006610500;;430066105;ANDRÉ DA ROCHA;4300661;ANDRÉ DA ROCHA;GUAPORÉ;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ANDRÉ DA ROCHA;-51,57373797;-28,6319772;704,876174
;430070305000001;URBANO;43007030500;;430070305;ANTA GORDA;4300703;ANTA GORDA;GUAPORÉ;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ANTA GORDA;-52,01582344;-28,97088436;423,625646
;430070305000007;RURAL;43007030500;;430070305;ANTA GORDA;4300703;ANTA GORDA;GUAPORÉ;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;3;00001;POVOADO;BORGHETTO;-51,99107136;-28,98627759;373,326446
;430070310000001;URBANO;43007031000;;430070310;ITAPUCA;4300703;ANTA GORDA;GUAPORÉ;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;2;10;VILA;ITAPUCA;-52,03681354;-28,8941317;441,112724
;430080205000001;URBANO;43008020500;;430080205;ANTÔNIO PRADO;4300802;ANTÔNIO PRADO;CAXIAS DO SUL;NORDESTE RIO-GRANDENSE;RIO GRANDE DO SUL;1;05;CIDADE;ANTÔNIO PRADO;-51,28357692;-28,85543762;640,436272
